workload,protocol,threads,hotset_prob,elapsed_s,total_commits,total_aborts,throughput_tps,abort_rate_pct,txn_type,type_commits,type_aborts,type_abort_pct,type_avg_latency_us,type_p50_us,type_p90_us,type_p99_us
1,occ,1,0.100000,0.002284,200,0,87557.700525,0.000000,transfer,200,0,0.000000,10.287315,9.479500,11.925300,22.515000
1,occ,1,0.300000,0.005391,200,0,37097.726169,0.000000,transfer,200,0,0.000000,26.447500,9.625000,13.120500,106.489670
1,occ,1,0.500000,0.001855,200,0,107816.711590,0.000000,transfer,200,0,0.000000,8.813795,8.542000,9.470500,12.214670
1,occ,1,0.700000,0.002670,200,0,74919.218353,0.000000,transfer,200,0,0.000000,12.891040,13.562500,17.512500,27.259670
1,occ,1,0.900000,0.002025,200,0,98745.146676,0.000000,transfer,200,0,0.000000,9.647675,8.958500,12.433700,17.601750
1,occ,2,0.100000,0.003970,400,2,100765.185628,0.497512,transfer,400,2,0.497512,17.372605,20.604500,22.217200,36.723840
1,occ,2,0.300000,0.004078,400,7,98091.290621,1.719902,transfer,400,7,1.719902,19.063557,8.583500,23.237200,327.617410
1,occ,2,0.500000,0.004007,400,6,99817.010466,1.477833,transfer,400,6,1.477833,16.422595,8.375000,12.908300,318.123330
1,occ,2,0.700000,0.003640,400,4,109903.938463,0.990099,transfer,400,4,0.990099,14.387492,7.479500,10.459000,35.191670
1,occ,2,0.900000,0.003395,400,4,117814.528711,0.990099,transfer,400,4,0.990099,13.193750,7.041500,8.462200,21.898750
1,occ,4,0.100000,0.009551,800,18,83757.574171,2.200489,transfer,800,18,2.200489,40.805201,28.583500,47.462200,417.490500
1,occ,4,0.300000,0.009551,800,21,83763.055257,2.557856,transfer,800,21,2.557856,39.608132,10.709000,38.296100,473.641250
1,occ,4,0.500000,0.009622,800,34,83143.514957,4.076739,transfer,800,34,4.076739,37.564166,10.020500,35.212200,523.094590
1,occ,4,0.700000,0.010192,800,26,78493.251396,3.147700,transfer,800,26,3.147700,36.243786,7.959000,19.883300,565.706670
1,occ,4,0.900000,0.008689,800,23,92066.894885,2.794654,transfer,800,23,2.794654,28.734153,7.959000,10.804400,484.354250
1,occ,8,0.100000,0.022412,1600,42,71389.794659,2.557856,transfer,1600,42,2.557856,63.104431,9.292000,14.258300,1565.013670
1,occ,8,0.300000,0.020346,1600,88,78637.928174,5.213270,transfer,1600,88,5.213270,74.262265,10.708000,63.488100,1207.842090
1,occ,8,0.500000,0.019938,1600,120,80248.268079,6.976744,transfer,1600,120,6.976744,71.773939,10.292000,34.249700,1243.461170
1,occ,8,0.700000,0.027263,1600,100,58687.241240,5.882353,transfer,1600,100,5.882353,68.367006,7.834000,21.212200,1295.802080
1,occ,8,0.900000,0.027008,1600,78,59240.699368,4.648391,transfer,1600,78,4.648391,64.123667,8.334000,14.088100,965.747910
1,occ,16,0.100000,0.039748,3200,144,80506.859109,4.306220,transfer,3200,144,4.306220,139.541771,10.959000,135.678500,3624.389590
1,occ,16,0.300000,0.059530,3200,217,53754.559437,6.350600,transfer,3200,217,6.350600,183.197151,9.542000,15.800300,3180.628920
1,occ,16,0.500000,0.063165,3200,311,50660.933622,8.857875,transfer,3200,311,8.857875,141.098485,9.750000,38.341400,2667.571840
1,occ,16,0.700000,0.093445,3200,286,34244.636255,8.204246,transfer,3200,286,8.204246,187.703734,10.208000,24.338100,2705.659080
1,occ,16,0.900000,0.101282,3200,223,31594.887821,6.514753,transfer,3200,223,6.514753,162.820747,8.812500,12.462200,1394.924170
1,2pl,1,0.100000,0.001864,200,0,107296.137339,0.000000,transfer,200,0,0.000000,8.898365,8.500000,10.046100,13.754170
1,2pl,1,0.300000,0.002571,200,0,77780.668626,0.000000,transfer,200,0,0.000000,12.440420,9.334000,18.254200,36.519170
1,2pl,1,0.500000,0.001754,200,0,114006.106167,0.000000,transfer,200,0,0.000000,8.331215,7.833000,9.875000,13.326580
1,2pl,1,0.700000,0.001693,200,0,118156.731359,0.000000,transfer,200,0,0.000000,7.999390,7.770500,8.675300,11.126250
1,2pl,1,0.900000,0.001644,200,0,121626.757887,0.000000,transfer,200,0,0.000000,7.788095,7.584000,8.254200,11.922000
1,2pl,2,0.100000,0.003243,400,0,123326.764128,0.000000,transfer,400,0,0.000000,15.724573,15.854500,18.583100,30.382500
1,2pl,2,0.300000,0.003296,400,0,121342.362014,0.000000,transfer,400,0,0.000000,15.310850,12.375000,17.875000,168.815410
1,2pl,2,0.500000,0.003658,400,0,109355.619280,0.000000,transfer,400,0,0.000000,15.456358,8.104000,17.379200,195.453010
1,2pl,2,0.700000,0.003519,400,0,113679.413255,0.000000,transfer,400,0,0.000000,14.098760,7.584000,15.549400,181.165660
1,2pl,2,0.900000,0.003762,400,0,106339.396540,0.000000,transfer,400,0,0.000000,14.891240,7.542000,12.958000,39.946990
1,2pl,4,0.100000,0.004645,800,0,172234.394649,0.000000,transfer,800,0,0.000000,21.305784,17.292000,24.295200,177.767910
1,2pl,4,0.300000,0.007222,800,0,110768.160578,0.000000,transfer,800,0,0.000000,33.336036,17.854500,33.966400,217.196670
1,2pl,4,0.500000,0.008160,800,0,98035.719560,0.000000,transfer,800,0,0.000000,32.531037,12.625000,25.287500,284.877090
1,2pl,4,0.700000,0.007127,800,0,112255.099714,0.000000,transfer,800,0,0.000000,31.988640,8.875000,21.920200,494.961160
1,2pl,4,0.900000,0.008106,800,0,98693.337225,0.000000,transfer,800,0,0.000000,31.437455,7.958000,17.867200,509.503750
1,2pl,8,0.100000,0.015126,1600,0,105778.424084,0.000000,transfer,1600,0,0.000000,71.718397,47.437500,117.025000,481.712680
1,2pl,8,0.300000,0.021177,1600,0,75553.074477,0.000000,transfer,1600,0,0.000000,59.163202,22.604000,66.512500,512.782500
1,2pl,8,0.500000,0.018175,1600,0,88031.602905,0.000000,transfer,1600,0,0.000000,60.281264,15.083500,95.282800,960.137260
